2023-05-16|03:18:00|software subscription|Joe|1710.74
2023-05-17|21:21:00|software subscription|Joe|-1116.97
2023-05-01|07:38:00|utility bill|Starbucks|490.81
2023-04-26|22:31:00|client payment|Adobe|187.19
2023-05-15|03:09:00|coffee purchase|Best Buy|-1206.64
2023-05-28|01:27:00|utility bill|Duke Energy|531.7
2023-05-07|17:32:00|internet service|Office Depot|-1616.67
2023-05-10|02:47:00|utility bill|Adobe|-88.07
2023-06-10|20:42:00|office chair|Office Depot|-1881.26
2023-05-04|11:55:00|utility bill|Joe|-1453.72
2023-05-16|15:11:00|printer ink|Adobe|1559.26
2023-05-31|16:35:00|Invoice 1001 paid|Office Depot|1688.14
2023-06-13|15:33:00|Invoice 1001 paid|Client XYZ|824.59
2023-05-04|02:35:00|internet service|Starbucks|-1483.39
2023-06-06|05:27:00|software subscription|Adobe|374.69
2023-05-15|13:26:00|coffee purchase|Duke Energy|607.7
2023-05-08|05:20:00|client payment|Best Buy|816.04
2023-06-06|13:14:00|laptop bag|Amazon|702.23
2023-04-30|13:23:00|laptop bag|Office Depot|1086.31
2023-05-16|21:14:00|ergonomic keyboard|Best Buy|1676.13
2023-06-02|10:36:00|laptop bag|AT&T|97.37
2023-04-24|02:26:00|ergonomic keyboard|Dell|1023.04
2023-04-21|02:41:00|ergonomic keyboard|Office Depot|-1284.53
2023-04-21|14:33:00|office chair|Joe|-339.74
2023-05-01|13:34:00|coffee purchase|Dell|-1505.29
2023-05-25|08:27:00|utility bill|Amazon|-1271.11
2023-05-29|21:26:00|Invoice 1001 paid|Amazon|1778.59
2023-04-18|03:04:00|software subscription|Amazon|-1875.75
2023-04-26|08:47:00|client payment|Duke Energy|-716.75
2023-06-09|08:39:00|internet service|Amazon|145.29
2023-04-16|03:08:00|laptop bag|Adobe|1278.96
2023-05-31|22:31:00|coffee purchase|Best Buy|585.48
2023-04-17|11:16:00|office chair|Starbucks|737.51
2023-05-12|03:58:00|internet service|Amazon|-1257.86
2023-05-30|22:20:00|ergonomic keyboard|Adobe|-1346.94
2023-06-04|00:59:00|printer ink|Office Depot|119.62
2023-04-22|10:35:00|coffee purchase|Best Buy|854.41
2023-04-20|23:09:00|client payment|Best Buy|1921.12
2023-04-16|05:02:00|printer ink|Client XYZ|-312.35
2023-05-20|18:12:00|printer ink|Dell|-592.61
2023-05-25|06:33:00|laptop bag|Starbucks|1565.65
2023-06-03|14:41:00|software subscription|Best Buy|-475.45
2023-04-30|14:25:00|internet service|AT&T|1086.34
2023-04-19|11:23:00|office chair|Client XYZ|-1574.71
2023-04-20|02:13:00|client payment|Joe|-926.96
2023-05-04|17:30:00|software subscription|Client XYZ|1153.98
2023-04-18|10:28:00|utility bill|AT&T|-228.39
2023-05-14|19:25:00|software subscription|Adobe|1761.2
2023-05-24|18:04:00|internet service|Duke Energy|-1830.12
2023-05-11|08:53:00|client payment|Client XYZ|-623.59
2023-05-28|20:02:00|client payment|Client XYZ|-478.19
2023-05-28|04:54:00|coffee purchase|Client XYZ|1453.96
2023-06-14|12:47:00|internet service|Amazon|848.27
2023-05-02|08:14:00|ergonomic keyboard|Joe|816.32
2023-06-15|06:37:00|Invoice 1001 paid|Dell|-148.76
2023-05-01|17:59:00|printer ink|Amazon|1566.23
2023-05-04|09:40:00|ergonomic keyboard|Dell|287.64
2023-05-18|10:36:00|Invoice 1001 paid|AT&T|-1978.16
2023-05-14|10:15:00|client payment|Joe|-247.95
2023-06-08|00:46:00|software subscription|Dell|-592.13
2023-04-29|20:25:00|coffee purchase|Adobe|795.51
2025-04-28|13:36:47|testing|Amazon|32.45
2025-04-28|13:40:29|test2|Apple|1020.32
2025-04-28|14:09:28|to landlord|Apartment Company|-1600.0
